t,TM1,TN1,TM2,TN2,TM3,TN3,TM4,TN4,R1,R2,R3,R4,RE1,RE2,RE3,RE4
0,849.625837,849.9999999999999,851.299214,849.9999999999211,850.867119,850.0000000000013,849.002314,849.999999998872,0.3741629999998395,1.299214000078905,0.8671189999987519,0.9976859988720435,0.0004403856188283966,0.001526154351739957,0.0010191003749420381,0.0011751275378408964
5,834.243643,834.2654630350036,850.789627,849.6569818681214,850.853782,849.9969847722225,839.457494,840.7740106880212,0.021820035003543126,1.1326451318785757,0.8567972277775198,1.3165166880212382,2.6155470511080807E-05,0.0013312869550048895,0.0010069852727968714,0.0015682946396107082
10,822.205579,821.6844630682162,847.132362,848.1451786448033,850.897012,849.9780056182233,840.027628,838.8330766292261,0.5211159317836973,1.0128166448033653,0.9190063817767395,1.1945513707739792,0.0006338024760395081,0.0011955825207907301,0.0010800441990231593,0.0014220381936937664
12,817.201789,816.63058834144,842.939822,842.9399133278421,850.942083,849.9669175836912,839.762275,838.3083578151819,0.5712006585599738,9.132784202847688E-05,0.9751654163088688,1.453917184818124,0.0006989713755508847,1.0834443888507723E-07,0.0011459832999102817,0.0017313437720432535
14,812.558411,811.7426915001729,838.594184,838.5892975548682,850.966688,849.9509185045473,838.615278,837.750593261452,0.8157194998270825,0.00488644513188774,1.0157694954526733,0.8646847385480214,0.0010038902911892725,5.826948511114096E-06,0.0011936654040359724,0.001031086317208761
15,808.274035,807.8939032871417,836.567879,837.856228320879,850.982095,849.9414523744038,837.498162,837.4564381238937,0.38013171285831504,1.2883493208790924,1.040642625596206,0.041723876106289026,0.0004703005371913438,0.0015400415832593692,0.0012228725277659408,4.981966289531872E-05
16,788.449302,788.4882704615821,834.725568,834.7404023335407,850.943922,849.9301483353197,835.768857,836.4643871257331,0.03896846158215794,0.01483433354076169,1.0137736646803432,0.6955301257330575,4.94241817239353E-05,1.7771509714629577E-05,0.0011913519075353865,0.0008322039280449732
17,743.31841,743.4907662656575,832.933975,833.6677346221779,850.935874,849.916393503194,833.269426,834.387559860685,0.17235626565752682,0.7337596221778995,1.019480496806068,1.1181338606850204,0.000231874070840687,0.0008809337164784272,0.0011980697111919716,0.0013418635387265733
18,656.379995,657.0050721924217,831.21066,831.7423659047029,850.925986,849.8992663235996,830.128682,831.6026535021157,0.6250771924217133,0.5317059047029034,1.0267196764003756,1.4739715021156599,0.0009523099381200875,0.0006396764746771936,0.0012065910470389321,0.0017755939941316952
19,552.8842,553.517361586956,829.453044,828.6977778795896,850.95427,849.8775500860096,827.079213,828.5889719117898,0.633161586956021,0.755266120410397,1.0767199139903596,1.5097589117898451,0.0011451974698427285,0.0009105592243873867,0.0012653087856182444,0.0018254102969334875
