t,TM1,TN1,TM2,TN2,TM3,TN3,TM4,TN4,R1,R2,R3,R4,RE1,RE2,RE3,RE4
0,850.353387,850.0000000000003,849.602375,849.9999999998846,849.760535,849.9999999999989,848.424644,849.9999999999071,0.35338699999965684,0.397624999884556,0.23946499999885873,1.575355999907174,0.00041557663602233275,0.00046801305126360554,0.00028180291992362143,0.001856801321187429
5,843.632558,843.6018096437875,848.347887,849.2852850640905,849.468818,849.6770473581552,847.975152,849.193626640646,0.030748356212484396,0.9373980640905302,0.20822935815510846,1.2184746406460363,3.6447569407917984E-05,0.0011049689383979455,0.0002451289014296796,0.0014369225770026293
10,831.458319,831.4778440208294,841.198651,841.1060257050625,847.995144,846.2772583478828,844.568999,846.3539269754325,0.01952502082940555,0.09262529493753391,1.717885652117161,1.784927975432538,2.348286183832812E-05,0.00011011108354420542,0.002025820152712055,0.002113418770456833
12,824.295171,824.305817159662,835.472623,835.448398172828,845.977155,844.0683159340891,840.363196,840.3784871962744,0.010646159661973797,0.024224827172020014,1.908839065910911,0.015291196274347385,1.291547013317854E-05,2.899535724466224E-05,0.0022563718826555204,1.8195937598327883E-05
14,817.294416,817.3035396393585,829.799668,829.8275814883909,842.816355,840.944033082822,834.623645,835.8860178332334,0.009123639358563196,0.027913488390936436,1.8723219171780556,1.2623728332333712,1.116322243239601E-05,3.363882810198526E-05,0.0022215063887530465,0.0015125054757265729
15,813.562547,814.7355133594803,826.988678,827.0307567569038,840.819211,839.1669336714004,831.471365,831.4626622380105,1.172966359480256,0.042078756903720205,1.6522773285995527,0.008702761989525243,0.0014417654350062602,5.088190204185625E-05,0.0019650803727884287,1.0466700785931747E-05
16,810.017024,809.9823779760161,824.17224,826.1358658146833,838.641425,837.2667934283918,828.230636,828.8884252031576,0.03464602398389616,1.9636258146832688,1.3746315716082336,0.657789203157563,4.2771970165279094E-05,0.0023825430163521024,0.0016391171848066455,0.0007942101807950544
17,795.165663,795.2194685356425,821.582134,821.6165593638481,836.328648,835.2345050244843,825.139565,826.5668912586009,0.05380553564248203,0.034425363848072266,1.0941429755157515,1.4273262586009423,6.766581876722967E-05,4.1901305327158275E-05,0.0013082691572652565,0.0017297998049589857
18,716.407178,717.6235443171057,818.886116,818.4952935419359,833.927821,832.9570578175754,821.968757,821.9874355519137,1.216366317105667,0.39082245806412175,0.9707631824245482,0.01867855191369472,0.0016978700862565433,0.00047726106283638804,0.0011640853776295206,2.272416287678282E-05
19,542.493666,542.8954798524544,808.250597,808.2850649890785,831.835084,829.9359708333841,818.657455,819.4387799793847,0.40181385245443835,0.034467989078507344,1.8991131666159617,0.7813249793846353,0.0007406793436265455,4.264517614517437E-05,0.002283040476585575,0.0009543979287217696
